batting_team,bowling_team,venue,batsman,bowler,over,ball,current_score,wickets,runs_last_5_overs,wickets_last_5_overs,final_score
Rajasthan Royals,Kolkata Knight Riders,HPCA Stadium Dharamsala,Shubham Dubey,Vaibhav Arora,7,2,63,0,46,2,179
Gujarat Titans,Sunrisers Hyderabad,Barsapara Stadium Guwahati,Abhinav Manohar,Bhuvneshwar Kumar,10,4,95,1,34,3,215
Lucknow Super Giants,Rajasthan Royals,MA Chidambaram Stadium,Marcus Stoinis,Yuzvendra Chahal,14,2,119,4,28,1,180
Chennai Super Kings,Royal Challengers Bangalore,Narendra Modi Stadium,Daryl Mitchell,Yash Dayal,14,6,93,2,47,0,124
Lucknow Super Giants,Mumbai Indians,Ekana Cricket Stadium,Kyle Mayers,Jasprit Bumrah,1,4,14,0,48,4,277
Punjab Kings,Delhi Capitals,M. Chinnaswamy Stadium,Ashutosh Sharma,Ishant Sharma,3,1,13,3,34,1,95
Rajasthan Royals,Mumbai Indians,Eden Gardens,Riyan Parag,Luke Wood,4,6,38,0,64,3,214
Sunrisers Hyderabad,Kolkata Knight Riders,HPCA Stadium Dharamsala,Abdul Samad,Harshit Rana,7,6,63,2,5,0,185
Royal Challengers Bangalore,Lucknow Super Giants,HPCA Stadium Dharamsala,Dinesh Karthik,Matt Henry,9,4,71,2,21,1,157
Chennai Super Kings,Sunrisers Hyderabad,Barsapara Stadium Guwahati,Ruturaj Gaikwad,Umran Malik,6,4,44,1,34,2,170
Mumbai Indians,Gujarat Titans,Barsapara Stadium Guwahati,Tim David,R Sai Kishore,3,4,28,1,29,0,187
Rajasthan Royals,Chennai Super Kings,PCA Stadium Mohali,Sanju Samson,Deepak Chahar,18,6,176,9,58,1,179
Mumbai Indians,Lucknow Super Giants,Eden Gardens,Rohit Sharma,Matt Henry,4,6,18,3,60,1,89
Kolkata Knight Riders,Lucknow Super Giants,PCA Stadium Mohali,Angkrish Raghuvanshi,Mohsin Khan,17,1,140,9,54,0,177
Royal Challengers Bangalore,Delhi Capitals,M. Chinnaswamy Stadium,Virat Kohli,Lalit Yadav,17,4,170,8,60,2,241
Mumbai Indians,Lucknow Super Giants,Wankhede Stadium,Romario Shepherd,Mohsin Khan,16,5,127,4,25,0,167
Royal Challengers Bangalore,Punjab Kings,Barsapara Stadium Guwahati,Faf du Plessis,Arshdeep Singh,19,1,132,5,44,3,169
Punjab Kings,Kolkata Knight Riders,MA Chidambaram Stadium,Liam Livingstone,Sunil Narine,19,4,171,4,29,0,172
Punjab Kings,Delhi Capitals,Wankhede Stadium,Shashank Singh,Lalit Yadav,5,6,48,0,40,0,181
Mumbai Indians,Delhi Capitals,Arun Jaitley Stadium,Tilak Varma,Jhye Richardson,4,1,24,1,43,2,136
Rajasthan Royals,Chennai Super Kings,Wankhede Stadium,Shimron Hetmyer,Mukesh Choudhary,20,4,158,7,67,0,164
Mumbai Indians,Lucknow Super Giants,Narendra Modi Stadium,Suryakumar Yadav,Mohsin Khan,9,4,75,2,52,1,178
Mumbai Indians,Kolkata Knight Riders,Eden Gardens,Suryakumar Yadav,Sunil Narine,7,6,70,2,31,1,210
Kolkata Knight Riders,Royal Challengers Bangalore,Narendra Modi Stadium,Angkrish Raghuvanshi,Akash Deep,5,3,39,1,67,5,165
Punjab Kings,Gujarat Titans,MA Chidambaram Stadium,Jonny Bairstow,Noor Ahmad,5,6,37,5,35,2,143
